Data type,Month,Region,Scenario,Sub-Technology,To D,Value
Curtailment (GWh),11,Chubu,2025_Historical data,Others,5:00,
Generation (GWh),11,Chubu,2025_Historical data,Others,5:00,1:01
Curtailment (GWh),11,Chubu,2025_Historical data,Others,5:30,
Generation (GWh),11,Chubu,2025_Historical data,Others,5:30,1:00
Curtailment (GWh),11,Chubu,2025_Historical data,Others,6:00,
Generation (GWh),11,Chubu,2025_Historical data,Others,6:00,0:48
Curtailment (GWh),11,Chubu,2025_Historical data,Others,6:30,
Generation (GWh),11,Chubu,2025_Historical data,Others,6:30,0:46
Curtailment (GWh),11,Chubu,2025_Historical data,Others,7:00,
Generation (GWh),11,Chubu,2025_Historical data,Others,7:00,0:25
Curtailment (GWh),11,Chubu,2025_Historical data,Others,7:30,
Generation (GWh),11,Chubu,2025_Historical data,Others,7:30,0:24
Curtailment (GWh),11,Chubu,2025_Historical data,Others,8:00,
Generation (GWh),11,Chubu,2025_Historical data,Others,8:00,0:47
Curtailment (GWh),11,Chubu,2025_Historical data,Others,8:30,
Generation (GWh),11,Chubu,2025_Historical data,Others,8:30,0:44
Curtailment (GWh),11,Chubu,2025_Historical data,Others,9:00,
Generation (GWh),11,Chubu,2025_Historical data,Others,9:00,0:46
Curtailment (GWh),11,Chubu,2025_Historical data,Others,9:30,
Generation (GWh),11,Chubu,2025_Historical data,Others,9:30,0:43
Curtailment (GWh),11,Chubu,2025_Historical data,Others,10:00,
Generation (GWh),11,Chubu,2025_Historical data,Others,10:00,0:24
Curtailment (GWh),11,Chubu,2025_Historical data,Others,10:30,
Generation (GWh),11,Chubu,2025_Historical data,Others,10:30,0:23
Curtailment (GWh),11,Chubu,2025_Historical data,Others,11:00,
Generation (GWh),11,Chubu,2025_Historical data,Others,11:00,0:23
Curtailment (GWh),11,Chubu,2025_Historical data,Others,11:30,
Generation (GWh),11,Chubu,2025_Historical data,Others,11:30,0:21
Curtailment (GWh),11,Chubu,2025_Historical data,Others,12:00,
Generation (GWh),11,Chubu,2025_Historical data,Others,12:00,0:25
Curtailment (GWh),11,Chubu,2025_Historical data,Others,12:30,
Generation (GWh),11,Chubu,2025_Historical data,Others,12:30,0:23
Curtailment (GWh),11,Chubu,2025_Historical data,Others,13:00,
Generation (GWh),11,Chubu,2025_Historical data,Others,13:00,0:25
Curtailment (GWh),11,Chubu,2025_Historical data,Others,13:30,
Generation (GWh),11,Chubu,2025_Historical data,Others,13:30,0:24
Curtailment (GWh),11,Chubu,2025_Historical data,Others,14:00,
Generation (GWh),11,Chubu,2025_Historical data,Others,14:00,0:25
Curtailment (GWh),11,Chubu,2025_Historical data,Others,14:30,
Generation (GWh),11,Chubu,2025_Historical data,Others,14:30,0:23
Curtailment (GWh),11,Chubu,2025_Historical data,Others,15:00,
Generation (GWh),11,Chubu,2025_Historical data,Others,15:00,0:24
Curtailment (GWh),11,Chubu,2025_Historical data,Others,15:30,
Generation (GWh),11,Chubu,2025_Historical data,Others,15:30,0:23
Curtailment (GWh),11,Chubu,2025_Historical data,Others,16:00,
Generation (GWh),11,Chubu,2025_Historical data,Others,16:00,0:25
Curtailment (GWh),11,Chubu,2025_Historical data,Others,16:30,
Generation (GWh),11,Chubu,2025_Historical data,Others,16:30,0:24
Curtailment (GWh),11,Chubu,2025_Historical data,Others,17:00,
Generation (GWh),11,Chubu,2025_Historical data,Others,17:00,1:24
Curtailment (GWh),11,Chubu,2025_Historical data,Others,17:30,
Generation (GWh),11,Chubu,2025_Historical data,Others,17:30,1:24
Curtailment (GWh),11,Chubu,2025_Historical data,Others,18:00,
Generation (GWh),11,Chubu,2025_Historical data,Others,18:00,1:30
Curtailment (GWh),11,Chubu,2025_Historical data,Others,18:30,
Generation (GWh),11,Chubu,2025_Historical data,Others,18:30,1:30
Curtailment (GWh),11,Chubu,2025_Historical data,Others,19:00,
Generation (GWh),11,Chubu,2025_Historical data,Others,19:00,1:30
Curtailment (GWh),11,Chubu,2025_Historical data,Others,19:30,
Generation (GWh),11,Chubu,2025_Historical data,Others,19:30,1:29
Curtailment (GWh),11,Chubu,2025_Historical data,Others,20:00,
Generation (GWh),11,Chubu,2025_Historical data,Others,20:00,1:27
Curtailment (GWh),11,Chubu,2025_Historical data,Others,20:30,
Generation (GWh),11,Chubu,2025_Historical data,Others,20:30,1:13
Curtailment (GWh),11,Chubu,2025_Historical data,Others,21:00,
Generation (GWh),11,Chubu,2025_Historical data,Others,21:00,0:44
Curtailment (GWh),11,Chubu,2025_Historical data,Others,21:30,
Generation (GWh),11,Chubu,2025_Historical data,Others,21:30,0:44
Curtailment (GWh),11,Chubu,2025_Historical data,Others,22:00,
Generation (GWh),11,Chubu,2025_Historical data,Others,22:00,0:46
Curtailment (GWh),11,Chubu,2025_Historical data,Others,22:30,
Generation (GWh),11,Chubu,2025_Historical data,Others,22:30,0:43
Curtailment (GWh),11,Chubu,2025_Historical data,Others,23:00,
Generation (GWh),11,Chubu,2025_Historical data,Others,23:00,0:38
Curtailment (GWh),11,Chubu,2025_Historical data,Others,23:30,
Generation (GWh),11,Chubu,2025_Historical data,Others,23:30,0:34
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,0:00,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,0:00,5:12
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,0:30,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,0:30,5:09
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,1:00,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,1:00,5:11
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,1:30,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,1:30,5:11
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,2:00,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,2:00,5:11
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,2:30,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,2:30,5:12
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,3:00,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,3:00,5:11
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,3:30,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,3:30,5:12
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,4:00,
Generation (GWh),11,Chubu,2025_Historical data,Biomass,4:00,5:08
Curtailment (GWh),11,Chubu,2025_Historical data,Biomass,4:30,
